sample_id,ACAA2,ACAD11,ACCS,ACSL6,AGK,AGXT,ALDH1B1,ALDH2,ALKBH7,AMACR,AMT,APEX1,ARMCX2,ARMCX3,ATAD3A,ATAD3B,BAD,BAX,BCL2A1,BCL2L10,BCL2L2,CASP8,CHCHD5,COA4,COMTD1,COX20,COX6A1,COX8A,CPS1,CYP27B1,D2HGDH,DARS2,DHRS4,DHTKD1,DNAJC28,DNAJC30,DNLZ,DTYMK,ENDOG,FPGS,GATC,GCSH,GFER,GLDC,GLRX2,GPX1,GTPBP6,IMMP1L,LDHAL6B,LYRM9,MCU,METAP1D,MGARP,MICU3,MRPL14,MRPL23,MRPL38,MRPL53,MRPS24,MRPS34,MTFR2,MTG1,MTHFD2,MTX1,NAGS,NDUFA11,NDUFA2,NDUFA9,NDUFC2,NDUFS6,NEU4,OXR1,PABPC5,PAICS,PAM16,PDE2A,PDF,PDK2,PDK3,PET100,PET117,PEX11B,PIF1,PNPO,POLB,POLQ,PPIF,PREPL,PTPMT1,PTRH1,RAB24,RDH13,RNASEH1,ROMO1,SARS2,SCO2,SLC25A21,SLC25A23,SLC25A27,SLC25A34,SLC25A47,SLC25A6,SND1,SPHKAP,SPRYD4,STAR,SYNJ2BP,TEFM,TIMM13,TIMM23,TIMM8B,TOMM5,TSPO,TSTD1,TSTD3,UCP2,Target
CGGA_1001,11.02463231,4.182519388,10.8348075,9.30221921,10.32103965,5.091160492,10.47990108,12.76162062,11.03490664,6.01612658,10.03907428,13.0614611,9.000253953,7.685992017,9.8941897,9.954984551,9.424563225,11.77831816,10.7900144,4.182519388,11.54125222,10.09416636,9.949562472,10.84067617,8.36349533,6.466250607,10.44179596,11.19693925,8.617614387,6.01612658,9.655288381,9.551715624,9.8941897,10.72487102,4.182519388,4.182519388,5.28670899,10.05430936,6.896696014,11.70461567,9.806926186,7.259922761,8.979100999,11.96450712,7.548103146,15.05497157,4.182519388,8.261854384,4.182519388,9.293681291,9.621584481,9.635160771,5.821154138,7.604877501,9.938656753,10.65664574,6.986014695,7.186990628,5.447921948,10.81109106,6.01612658,6.466250607,10.70570514,9.508108193,7.362671517,8.891235111,10.19383297,8.473631568,10.3746131,11.20606043,8.697549185,10.1753724,7.395318558,12.37963928,6.698488647,9.205397048,4.830244025,11.14096682,9.327533439,6.103064408,4.830244025,8.935838717,6.75080094,10.42626747,9.335873606,5.586954766,11.91112931,11.90273917,7.149047672,4.830244025,7.992200939,6.01612658,9.259014297,10.9614004,5.447921948,9.888533627,5.091160492,13.04312877,9.424563225,7.970845002,5.710106259,4.182519388,12.85154976,5.447921948,8.868403728,6.401274059,9.08188736,8.443017257,10.91208829,8.427461629,9.916594662,6.587384097,12.27518088,8.58994962,6.644078603,13.74421919,Cancer
CGGA_1004,11.03364079,4.182519388,11.95947645,11.68540254,8.951311398,4.182519388,8.981461453,12.67745962,10.28435002,6.27220527,10.59796082,12.3759649,8.91010263,7.285421245,10.34351965,10.78316763,8.835018563,11.6884482,9.08690278,5.251813255,11.32538686,10.33187835,9.659045266,10.37032271,8.260591736,8.210438983,10.50427012,10.62364855,8.029306097,6.047230191,11.25933068,9.301204584,8.720461954,10.92162071,4.809166952,4.182519388,5.962257524,9.92495439,7.88729921,11.19439539,8.790285131,8.595978137,9.627639935,9.872340958,8.401307014,14.34969592,4.182519388,8.930854551,5.062032881,9.522280648,8.401307014,9.501638519,5.870899813,9.34821738,9.755176918,10.31620898,8.10453336,6.870586626,5.870899813,10.92420694,6.402913891,7.074563954,10.66752978,9.701893849,6.463687274,9.363553406,9.515432743,8.823964985,9.783949091,10.71907946,9.437876152,10.61086187,7.681090494,11.70358079,7.908471778,8.941119332,6.521795685,9.795299058,8.067414515,6.955819932,5.771929013,8.04848732,7.439759967,9.378727878,9.737633843,5.771929013,11.48453993,12.5222515,7.111992239,5.408470002,8.193323339,5.408470002,8.430786662,10.20573875,6.463687274,8.086094383,4.809166952,12.26507704,10.47634413,8.867678526,4.809166952,4.182519388,13.03774402,7.524856908,8.529442411,5.408470002,9.167774085,8.595978137,10.15378658,8.10453336,9.459445333,6.825904816,11.79118704,7.148441672,7.036100835,12.58651526,Cancer
CGGA_1005,9.499940237,5.065843852,8.633484834,12.53247107,9.689870669,4.182519388,10.18812651,12.99764735,10.41287859,6.639830965,9.677545901,12.81358746,9.032699143,7.940418961,10.28876565,10.13504431,8.790724967,9.957871663,5.778385217,5.065843852,12.36684784,7.876817538,8.646210226,10.70156223,7.479176204,8.683723848,9.695993755,10.52371437,10.17941407,5.778385217,10.2683705,9.790582647,8.732265709,12.29407363,5.065843852,4.182519388,5.877680809,9.879345046,7.390379595,10.77278678,9.471662418,8.456894832,9.413385256,11.72829725,8.18734785,12.09887622,4.182519388,8.900963095,4.182519388,9.108154591,9.857661552,9.695993755,6.054561114,10.62021396,9.360384225,9.513873721,7.327913843,7.158393153,5.413637442,10.84065915,6.209330039,6.411241429,10.63621831,9.620741778,5.778385217,8.568109964,9.080320257,8.767625726,10.45679883,10.39417624,10.93165307,12.61230343,8.932451795,12.32402051,6.741031081,12.66160902,5.877680809,11.25965985,7.740407598,5.877680809,5.256381522,9.080320257,7.810245458,9.708162438,9.513873721,6.586240807,12.1665519,13.41248001,7.981297578,5.256381522,7.940418961,5.778385217,9.313349066,10.05633349,5.669758162,8.021038373,6.691374751,13.98197767,11.06295377,8.471277158,5.256381522,4.182519388,12.83037686,11.17455355,8.320521453,7.691868006,9.513873721,8.001306191,10.80145604,8.485516783,9.857661552,7.479176204,9.77331359,6.639830965,6.880002325,9.607808713,Cancer
CGGA_1006,10.65538043,5.073634286,10.17827254,9.007782605,10.05273796,7.688834839,9.821385833,9.251755423,11.3421443,6.899191626,9.65853119,11.95329461,8.982479655,7.584302485,12.14827694,11.03925335,8.914530742,10.40065893,7.910051327,6.069522969,10.20910996,9.789670784,9.717952561,10.38144935,7.299868606,6.942734742,9.408095837,10.24781308,9.648920804,8.287011352,9.866305849,9.535273578,8.201669192,10.27721339,4.817558218,4.182519388,5.175040477,11.10044231,6.899191626,11.03557187,9.012790243,6.921134999,10.22859137,10.69170284,8.390861758,13.53402238,4.182519388,9.118767649,5.842604788,6.854226917,9.027709449,9.114116041,7.065698737,7.762475668,10.149035,11.04902493,6.396506165,6.964001884,6.110281323,12.01317074,7.855085371,7.299868606,11.16589228,9.877320505,7.33265857,9.334046734,9.309849225,8.383134921,8.738235064,12.33307157,7.02591012,11.42045129,7.249202099,12.38172716,6.459202228,8.650932508,7.266294987,9.882796434,9.002757482,7.380453549,4.817558218,8.502032092,8.585157392,9.100070348,8.946290972,9.890971524,10.77502266,11.30490933,5.983760702,5.891524707,7.973331146,6.330669033,9.93644128,10.74377501,6.261326572,8.244975767,6.576354876,11.75116129,7.676181643,8.003949285,6.631298915,4.182519388,13.64065359,8.530278625,7.104380503,6.87689301,8.480476353,8.003949285,11.79826885,8.295272483,10.28756991,5.623251808,11.0850899,6.709736809,5.842604788,11.21879436,Cancer
CGGA_1007,10.98207911,4.182519388,9.40008697,11.25048689,9.98242048,4.182519388,9.765124586,12.26172927,10.55027379,6.930537256,9.089380106,12.22064913,9.117226041,8.02946277,11.0936361,10.40360586,8.844787631,10.6167459,6.353516552,5.068724424,10.87209186,9.330449335,9.564115032,10.37316287,7.927870759,7.772266896,9.977368827,10.20617912,8.536187895,10.91498644,9.910033932,9.888666483,8.105835745,11.04859911,4.814006343,4.182519388,5.068724424,10.26539766,6.417527747,10.60041287,9.770975893,9.723486537,9.699141932,10.42972632,7.42843837,13.26730275,4.182519388,8.213254228,5.068724424,8.142545161,9.223517543,9.866977563,7.05319633,7.270186664,9.248908167,9.98242048,7.367255681,6.215205586,5.553674835,11.3554271,7.05319633,7.091786157,10.74709761,9.422571015,8.753051264,8.52235148,9.64918328,8.406578919,9.361815712,10.89905008,9.55735851,10.66780235,6.215205586,13.16496591,6.353516552,9.910033932,6.646539305,11.00707522,7.54338116,6.536935125,4.182519388,8.741161462,7.236279898,10.16233994,9.214953533,8.105835745,11.74532759,12.630002,7.367255681,4.182519388,7.841044883,6.646539305,9.495080404,10.39605515,5.553674835,7.458062465,4.182519388,12.81899739,7.597530425,8.296996809,4.814006343,4.182519388,13.34972884,6.646539305,7.54338116,5.068724424,8.99246607,8.23039899,11.04859911,8.105835745,9.735506363,6.478573399,10.0986359,8.99246607,6.795900109,10.48058944,Cancer
CGGA_1008,10.51858062,5.046044189,9.846423979,10.50533576,10.06081064,4.797610161,10.30587523,11.05013535,10.08327215,6.485447455,9.898022927,12.7737151,8.038496602,7.560027072,10.64775745,10.31728954,8.597341706,10.73544745,5.842387996,4.797610161,11.92048864,9.176402577,9.356957641,10.89882616,8.092873947,8.244605415,9.737331135,10.49866744,9.851667781,6.740830054,9.063351457,10.29051425,8.960228547,11.20151144,4.797610161,4.182519388,5.232638899,10.41614582,8.128009608,10.89629171,9.913149228,9.504118832,9.72023102,11.71005725,7.533930885,12.56378782,4.182519388,8.960228547,4.182519388,8.572102576,8.838602567,9.75982022,5.63808882,8.212249889,9.830577147,10.97045248,8.092873947,6.830877786,5.386771915,11.05241361,7.070275037,7.176078834,9.054276079,9.184741953,6.367841903,8.307203323,10.01012798,8.074977007,9.265582441,11.38804672,8.038496602,11.16618276,5.232638899,13.79638081,6.540555701,7.902936709,7.20963728,10.75795822,7.560027072,5.744791005,5.63808882,8.228519022,8.128009608,9.334651518,8.646527299,8.452691905,10.96804091,12.08307985,7.981967887,5.232638899,7.981967887,6.304836527,9.697110633,10.24740786,5.744791005,7.77551503,4.182519388,12.89164306,9.168014619,7.533930885,4.182519388,4.182519388,12.9156169,4.182519388,8.705732136,5.046044189,9.562860104,8.493609107,10.8937528,7.533930885,10.25929251,6.786595443,10.23140774,8.634387871,6.955754039,9.765388091,Cancer
CGGA_1011,9.971139069,4.808153257,10.55724451,9.691309254,9.773688536,4.182519388,10.26354615,12.29861536,9.418815618,6.910360612,9.109924795,12.24395482,8.905703845,7.725570953,9.857021383,9.78508188,8.884653079,10.62219106,9.381762223,4.808153257,11.4389832,11.04564628,9.5245797,11.43717961,6.910360612,7.435915067,9.829775542,10.67824305,9.1806879,6.518618395,10.04407072,10.68737687,8.98695564,11.66999989,4.808153257,4.182519388,5.959654793,10.09071976,5.406568635,10.70547279,10.21804621,7.214893532,8.996796943,11.96982399,8.578600524,14.38620639,4.182519388,9.531362086,5.250132534,8.692067053,9.538112699,9.70936263,8.604601099,9.127944304,10.01049448,10.37327364,6.776319769,7.839938212,5.661429826,11.14843229,6.518618395,7.180273845,10.8123109,9.733087343,7.144775123,7.74919163,8.967068788,8.630139398,10.31159801,10.95779529,6.336191589,12.11339091,8.863289667,12.90251148,6.992979961,8.895216968,5.868403849,10.82063633,8.895216968,6.044531422,5.541646686,8.497648961,7.46483768,9.951051037,9.597485988,7.795287909,11.34207147,13.03659783,7.74919163,5.060630942,6.627668604,5.868403849,9.197848309,10.4892349,5.661429826,8.171817484,5.959654793,12.60688362,10.30369974,8.025179145,4.808153257,4.182519388,13.29042655,6.867118145,9.623108761,5.406568635,9.462057276,9.206352427,10.55391913,9.296726034,11.13068634,6.776319769,11.20464371,6.123965005,6.867118145,11.67459978,Cancer
CGGA_1013,8.806895863,4.797696163,9.550401998,11.5948376,8.706107509,4.182519388,9.668070255,13.03717889,10.68681326,6.169039535,10.48225972,12.43567025,8.43915819,7.452955666,10.46525448,10.49906679,9.185126676,10.65116835,6.428221223,4.797696163,11.45024485,7.943352554,9.072752753,10.74150907,8.322800233,8.228881778,9.857286351,10.57077606,9.379311371,5.744993342,11.05736194,8.646901304,8.989474975,11.73336782,4.182519388,4.182519388,6.016619441,9.497831148,8.14561917,10.80775988,9.036333951,9.134349272,9.601122266,11.07091393,6.956059037,13.29850437,4.182519388,8.806895863,4.797696163,8.572474787,8.989474975,9.857286351,6.016619441,8.849518691,9.289361829,10.14902724,8.322800233,7.142011106,5.232781694,10.81851176,6.238866502,7.70759906,12.04509576,9.142937511,7.70759906,9.218009975,8.82836518,8.796039793,10.21968727,10.08366817,12.45818847,10.86073532,8.367548046,11.82151738,6.874074238,11.60884037,6.428221223,10.27538555,6.915675897,6.956059037,5.932741755,8.24496866,7.070587061,9.20166219,9.108272812,5.932741755,12.16155938,11.6959595,7.50767964,4.797696163,8.075334845,5.046163218,8.77407862,10.38795343,5.842600627,7.840999351,5.386933557,13.32183317,9.972510591,7.840999351,5.046163218,4.182519388,12.80012007,10.70431073,8.075334845,5.520115402,8.520624179,7.982322515,10.99237933,7.396024974,9.765780856,6.368103802,10.87110088,4.797696163,6.693760257,10.84767275,Cancer
CGGA_1015,10.54386714,4.83887106,10.9333697,7.179145852,10.11193028,5.300964137,10.02986036,11.13570907,9.844227219,5.943616405,9.738375259,12.70679926,9.665493289,7.982731755,10.80666008,10.82502293,8.348255005,11.04201416,9.38090575,5.300964137,12.51468101,10.51399515,9.186154069,10.28110681,7.325867316,7.058029025,9.461413398,9.801578223,7.179145852,7.5207236,9.954005228,9.868043272,9.610073167,10.27221111,4.182519388,4.182519388,5.60458293,9.908797459,6.284837683,10.77237541,9.997838425,7.550738035,9.295631066,9.015260872,8.666713515,13.57266234,4.182519388,8.493462594,5.464024531,8.99375373,9.595878617,9.38090575,5.841201809,9.355849192,10.30746933,9.795381183,8.004485311,7.550738035,5.729030728,11.00759426,6.878120388,7.77040324,10.89622224,9.364249898,8.047023134,8.680250448,9.500040734,8.025912525,8.430732807,11.19573771,5.729030728,11.38501898,8.653047841,11.74624057,7.744732256,7.5207236,5.729030728,10.00859162,8.949750411,6.357568201,4.83887106,8.381817401,8.568205982,9.277953119,9.725395172,7.795619273,12.02565347,11.57419531,6.725850627,4.83887106,7.325867316,5.729030728,9.959557813,10.46409356,5.841201809,9.088101465,5.729030728,10.50642947,8.597046988,8.296390619,5.300964137,4.182519388,13.77784587,4.83887106,8.706947676,5.300964137,9.0258951,8.430732807,10.46409356,8.398308574,9.588728565,6.491942726,10.83109229,7.426656953,5.841201809,12.22432893,Cancer
CGGA_1019,10.30325495,4.182519388,9.996518894,8.462689432,8.837105912,5.043364402,9.6588496,11.70236578,10.84084016,6.063986134,9.008784713,12.99911062,7.789722842,6.569795338,10.26732192,10.35063186,9.794907665,11.77817792,9.330909764,5.283513355,11.00722823,9.105079269,9.964814681,11.22221628,8.19314259,6.852892479,11.12805484,11.62842939,7.846841714,6.638011371,9.568902734,8.697270412,9.248999616,9.948697242,4.684400005,4.684400005,6.534341793,10.56242067,7.517551647,11.57064226,9.577315692,7.267143499,9.560440372,10.99158428,8.114112559,14.9151585,4.182519388,8.78715592,4.684400005,8.435123025,8.765205924,9.243722196,6.210161204,7.368786981,10.29052426,10.71692623,6.881007589,6.764913694,5.773605808,11.1122282,6.163288821,7.745327456,9.350679615,9.398948799,7.15755686,9.087507921,10.25950409,8.898879028,10.18441826,11.68204267,7.619677944,9.145263773,5.773605808,12.48816224,6.702944899,7.789722842,4.684400005,10.11101139,8.159805533,6.670867394,5.043364402,7.603159911,7.586447156,9.002546906,8.925504642,6.534341793,11.10788153,10.50847464,7.245901349,5.043364402,7.874564686,5.633794899,8.416446718,11.72240655,5.956062107,8.673892435,4.888796129,12.39372591,9.300736708,8.042713569,4.888796129,4.182519388,12.06423493,4.684400005,9.243722196,6.460476707,8.53371176,7.832775311,10.76924499,8.054863792,10.67051973,7.18017147,11.8318732,8.905581773,6.824189677,11.53439339,Cancer
